The boys are playing ball.	Ꮎ ᎠᏂᏧᏣ ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.
Roosters crow at dawn.	ᏥᏔᎦ ᎠᏂᏨᏯ ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.
How much does one rick of wood cost?	ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ ᎠᏓ?
He's thinking about raising chicks.	ᏥᏔᎦ ᎠᏂᏓ ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.
When he threw the ball down, it bounced.	ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ ᎤᏓᏗᏅᏒᎢ.
I see a lame man limping.	ᎠᏲᎤᏟᎠ ᎠᏍᎦᏯ ᎠᏓᏕᎬ ᏥᎪᏮᏘᎭ.
The ball player is bouncing the ball hard.	Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏱ ᎠᏓᏗᏅᏗᎭ ᏍᏆᏞᏍᏗ.
She put on a pretty belt when she went to town.	ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ ᎤᏓᏠᏢᎢ ᏗᎦᏚᎲ ᎤᏪᎾ.
I got a belt for Christmas.	ᎠᏓᏠᏍᏗ ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.
The preacher asked for prayers.	ᎠᏓᏙᎵᏍᏗ ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.
He prays three times a day.	ᏦᎢ ᎢᏳᏩᎩᏗ ᎠᏓᏙᎵᏍᏗᏍᎪ ᏏᎦ.
She bought tender green beans at the store. A very young child drinks only milk.	ᎠᏂᏓᎨ ᏚᏯ ᎠᏂᏤ ᏚᏩᏒ ᏗᏓᎾᏅᎢ. ᎠᏓᎨ ᎠᏲᏟ ᎤᏅᏗᏊ ᎢᎦ ᎠᏗᏔᏍᎪᎢ
Love is important.	ᎠᏓᎨᏴᏗ ᎤᎵᏍᎨᏓ.
Some pills are killers if too many are swallowed.	ᎢᎦᏓ ᏗᎩᏍᏗ ᎠᎾᏓᎯᎯ ᏥᏈᏍᏗ ᏱᏓᎩᏌ.
He gave his wife a new purse.	ᎢᏤ ᎠᏓᏟᏁᏌᎵᏗ ᎤᏅᏁᎸ ᎤᏍᏓᏴᎲᏍᎩ.
When it's close to Christmas, people shop for gifts.	ᏓᏂᏍᏓᏲᎯᎲ ᎾᎥ ᏱᎩ, ᏗᏓᏁᏗ ᎠᎾᏓᏁᎠᏁᏒᎲᏍᎪ ᏴᏫ.
She wants to fan herself, but she has no fan.	ᎤᏓᏃᏰᏗ ᎤᏚᎵ ᎠᏎᏅ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ.
It's hot. Plug in the fan.	ᎤᏗᏞᎦ. ᎱᏓᎸᎥᎦ ᎠᏓᏃᏲ.
This isn't my home. I'm just visiting.	Ꮭ ᎠᏴ ᎠᏇᏅᏒ ᏱᎩ ᎠᎭᏂ. ᎦᏓᏩᏛᎯᏙᎭᏊ.
When he finished writing letters, he stretched.	ᎤᏍᏆᏓ ᎪᏪᎵ ᏕᎪᏪᎵᏍᎬ, ᎤᏓᏯᏍᏔᏅᎢ.
He was cured of his cancer.	ᎠᏓᏰᏍᎩ ᎤᏢᎬ ᎠᏥᏅᏩᏅᎢ.
When he was accused of stealing, he denied it. I am denying him because I don't know him.	ᎤᏃᏍᎩᏒ ᎠᎫᎢᏍᏔᎾ, ᎤᏓᏱᎸᎢ. ᏥᏯᏓᏱᎭ, ᏝᎮᏃ ᏱᏥᏲᎵᎦ.
The eighth commandment says, "Thou shalt not commit adultery."	ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ "ᏞᏍᏗ ᏣᏓᏲᏁᎸᎢ" ᎠᏗᎭ.
The Bible reproves adultery.	ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ ᎠᏓᏲᏁᏗ.
An adulteress is mentioned in chapter eight of the book of John.	ᏣᏂ ᎣᏍᏓ ᎧᏃᎮᏛ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ ᎠᏓᏲᏁᎯ ᎠᎨᏯ.
An old cloth is easy to rip.	ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ ᎤᏓᏣᎦᎵᏗ.
Some kind of a stinging bug stung him on his hand.	ᎪᎱᏍᏓ ᎤᏍᏗ ᏥᏍᎪᏯ ᎠᏓᏨᎢᏍᎩ ᎤᏩᏨᏴ ᎤᏬᏰᏂ.
When he's getting ready to go somewhere, he uses a mirror.	Ꮲ ᎤᏪᏄᏍᏗ ᏯᏛᏅᎢᏍᏗ ᎠᏓᎨᏍᎪᎢ.
She has a big mirror on the dresser.	ᎤᏔᎾ ᎠᏓᎨᏗ ᏄᏩᏅᏗ ᏗᏎᎯᏍᏗᎢ.
When it's time for them to play ball, the ball game begins.	ᎤᎾᎳᏍᎦᏗ ᏳᏟᎢᎶᏝ ᎠᏓᎴᏂᏍᎪ ᎠᎾᎳᏍᎦᎵᏍᎬᎢ.
She wants to do a lot of shopping, but the prices are too high.	ᏥᏈᏍᏗ ᎤᏓᎾᏁᏒᎲᏍᏗ ᎤᏚᎵ ᎠᏎᏅ ᏥᏈᏍᏗ ᏓᎬᏩᎶᏗᏓᎾ.
I work in a store in the summer.	ᎠᏓᎾᏅ ᏓᎩᎸᏫᏍᏓᏁᎰ ᎪᎩ ᏱᏄᎵᏍᏔᎾ.
When he heard the dog bark, he ran.	ᎩᏟ ᏓᏑᏩᏍᎬ ᎤᏛᎦᎾ, ᎤᏓᏄᏩᏍᏔᏅᎢ.
The red light just changed.	ᎩᎦᎨ ᎠᏨᏍᏛ ᎠᏓᏁᏟᏴᎾ.
When he got tired of guarding the prisoner, his friend took his place.	ᏚᏯᏪᏣ ᎠᏴᎩ ᎠᎦᏘᏴ, ᎠᎾᎵᎢ ᎤᏓᏁᏟᏴᏍᏔᏅᎢ.
The ball players always have substitutes.	ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ ᏓᎾᏘᏁᎰ ᎠᎾᎳᏍᎦᎵᏍᎩ.
He gave a supply of food to the hungry.	ᎠᎵᏍᏓᏴᏗ ᎠᏓᏁᏢ ᏚᏁᎸ ᏧᏂᏲᏏᏍᎩ.
A tornado destroyed a building.	ᎤᏃᎴ ᎤᏲᏍᏔᏃᏅ ᎠᏓᏁᎸᎢ.
When the heart stops, a person dies.	ᎠᏓᏅᏙ ᏳᎴᏫᏍᏔᎾ, ᎠᏲᎱᏍᎪ ᏴᏫ.
What are you thinking about?	ᎦᏙ ᎤᏍᏗ ᎭᏓᏅᏖᎭ?
I'm just giving you something to think about.	ᎪᏍᏗᏊ ᎢᏣᏓᏅᏖᏗ ᎢᏨᏁᎭ.
