Genesis	ᎼᏏ ᎢᎬᏱᏱ ᎤᏬᏪᎳᏅᎯ
Chapter 1	ᎠᏯᏙᎸᎢ 1
In the beginning God created the heavens and the earth.	ᏗᏓᎴᏂᏍᎬᎢ ᎤᏁᎳᏅᎯ ᏚᏬᏢᏁ ᎦᎸᎶᎢ ᎠᎴ ᎡᎶᎯ.
Now the earth was formless and empty. Darkness was on the surface of the deep. God's Spirit was hovering over the surface of the waters.	ᎡᎶᎯᏃ ᏂᏓᏤᎸᎾ ᎠᎴ ᎤᏰᎸᎭᏉ ᎨᏎᎢ. ᎤᎵᏏᎩᏃ ᎤᏭᏝᎡ ᎠᏍᏛᎩ. ᎤᏁᎳᏅᎯᏃ ᎤᏓᏅᏙ ᎠᎹᏱ ᎦᏚᎢ ᎦᏃᎯᎵᏙᎮᎢ.
God said, "Let there be light," and there was light.	ᎤᏁᎳᏅᎯᏃ ᎢᎦ ᏫᎦᏙᎩ, ᎤᏛᏁᎢ; ᎢᎦᏃ ᎢᎤᏙᏤᎢ.
God saw the light, and saw that it was good. God divided the light from the darkness.	ᎤᏁᎳᏅᎯᏃ ᎤᏙᎴᎰᏎ ᎣᏏᏳ ᎨᏒ ᎢᎦ. ᎤᏁᎳᏅᎯᏃ ᏚᏓᏓᎴᏔᏁ ᎢᎦ ᎠᎴ ᎤᎵᏏᎩ.
God called the light "day," and the darkness he called "night." There was evening and there was morning, one day.	ᎤᏁᎳᏅᎯᏃ ᎢᎦᎦᏛᎢ ᎢᎦ ᏚᏬᎡᎢ, ᎤᎵᏏᎩᏃ ᏒᏃᏱ ᏚᏬᎡᎢ. ᎤᏒᎢᏃ ᎠᎴ ᏑᎾᎴᎢ ᎢᎬᏱᏱ ᎢᎦ ᎨᏎᎢ.
God said, "Let there be an expanse in the middle of the waters, and let it divide the waters from the waters."	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎦᎸᎶᎢ ᏩᏙᏢᎾ ᎠᎹᏱ ᎠᏰᎵ, ᎾᏍᎩᏃ ᏔᎵ ᏫᏂᎦᏓ ᎠᎹ.
God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.	ᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎤᏬᏢᏁ ᎦᎸᎶᎢ, ᎠᎴ ᏚᏓᏓᎴᏔᏁ ᎠᎹ ᎦᎸᎶᎢ ᎡᎳᏗᏢ ᎠᎴ ᎠᎹ ᎦᎸᎶᎢ ᎦᎸᎳᏗᏢ. ᎾᏍᎩᏃ ᏄᎵᏍᏔᏁᎢ.
God called the expanse "sky." There was evening and there was morning, a second day.	ᎤᏁᎳᏅᎯᏃ ᎦᎸᎶᎢ ᎦᎸᎳᏗ ᏚᏬᎡᎢ. ᎤᏒᏃ ᎠᎴ ᏑᎾᎴ ᏔᎵᏁ ᎢᎦ ᎨᏎᎢ.
God said, "Let the waters under the sky be gathered together to one place, and let the dry land appear;" and it was so.	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎠᎹ ᎭᏫᏂᏗᏢ ᎦᎸᎶᎢ ᏩᏓᏟᏌ, ᎤᎧᏲᏛᎯᏃ ᎨᏒ ᏫᎦᎾᏄᎪᎩ. ᎾᏍᎩᏃ ᏄᎵᏍᏔᏁᎢ.
God called the dry land "earth," and the gathering together of the waters he called "seas." God saw that it was good.	ᎤᏁᎳᏅᎯᏃ ᎤᎧᏲᏛᎯ ᎨᏒ ᎦᏓ ᏚᏬᎡᎢ, ᎠᎹᏃ ᎤᏓᏟᏌᏅᎯ ᎠᎺᏉᎯ ᏚᏬᎡᎢ. ᎤᏁᎳᏅᎯᏃ ᎤᏙᎴᎰᏎ ᎾᏍᎩ ᎣᏏᏳ ᎨᏒᎢ.
God said, "Let the earth yield grass, herbs yielding seed, and fruit trees bearing fruit after their kind, with its seed in it, on the earth;" and it was so.	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎦᏓ ᎦᏄᎸᏒ ᎦᎾᏄᎪᏩ, ᎾᏍᎩ ᎠᎦᏔᏛᏍᎩ ᎦᏄᎸᏒᎢ, ᎠᎴ ᏗᏓᏛᏍᎩ ᏕᏡᎬᎢ ᏧᏓᎴᏅᏛ ᏧᎾᏤᎵᎦᎭ ᎤᎦᏔ ᏧᏁᎯ ᎦᏙᎯ ᎦᎸᎳᏗᏢ. ᎾᏍᎩᏃ ᏄᎵᏍᏔᏁᎢ;
The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with its seed in it, after their kind; and God saw that it was good.	ᎦᏓ ᎦᏄᎸᏒ ᎤᎾᏄᎪᏫᏎᎢ, ᎾᏍᎩ ᎠᎦᏔᏛᏍᎩ ᏧᏓᎴᏅᏛ ᏧᎾᏤᎵᎦᎭ ᎤᎦᏔ ᎠᏂᎾᏄᎪᏫᏍᎩ, ᎠᎴ ᏕᏡᎬ ᏗᏓᏛᏍᎩ ᏧᎾᏤᎵᎦᎭ ᎤᎦᏔ ᏧᏁᎯ. ᎤᏁᎳᏅᎯᏃ ᎤᏙᎴᎰᏎ ᎾᏍᎩ ᎣᏏᏳ ᎨᏒᎢ.
There was evening and there was morning, a third day.	ᎤᏒᏃ ᎠᎴ ᏑᎾᎴᎢ ᏦᎢᏁ ᎢᎦ ᎨᏎᎢ.
God said, "Let there be lights in the expanse of sky to divide the day from the night; and let them be for signs, and for seasons, and for days and years;	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎦᎸᎶᎢ ᎦᎸᎳᏗ ᎢᎦ ᎠᎾᏘᏍᏗᏍᎩ ᏩᏂᎧᎸᎩ, ᎢᎦ ᏒᏃᏱᏃ ᏗᎾᎦᎴᏅᏗᏍᎩ, ᎠᎴ ᎾᏍᎩ ᏂᏓᎪᎳᏗᏴᎯᏒ ᎠᎴ ᏂᏓᏙᏓᏈᏒ ᎠᎴ ᏂᏓᏕᏘᏴᎯᏒ ᎠᏙᎴᎰᎯᏍᏙᏗ ᎨᏎᏍᏗ;
and let them be for lights in the expanse of sky to give light on the earth;" and it was so.	ᎠᎴ ᎾᏍᎩ ᎢᎦ ᎠᎾᏘᏍᏗᏍᎩ ᎨᏎᏍᏗ ᎦᎸᎶᎢ ᎦᎸᎳᏗ, ᎡᎶᎯ ᎢᎦ ᎤᎾᏘᏍᏙᏗᏱ. ᎾᏍᎩᏃ ᏄᎵᏍᏔᏁᎢ.
